team_a,team_b,phase,odds_home,odds_draw,odds_away,bookmaker,source_url
Russia,Saudi Arabia,GROUP,1.46,4.32,8.92,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Egypt,Uruguay,GROUP,8.35,4.06,1.5,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Russia,Egypt,GROUP,1.96,3.51,4.29,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Uruguay,Saudi Arabia,GROUP,1.22,6.62,17.46,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Uruguay,Russia,GROUP,2.74,3.06,2.96,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Saudi Arabia,Egypt,GROUP,5.27,3.62,1.78,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Morocco,Iran,GROUP,2.23,2.95,4.11,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Portugal,Spain,GROUP,4.3,3.26,2.03,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Portugal,Morocco,GROUP,1.7,3.67,5.97,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Iran,Spain,GROUP,19.05,6.78,1.21,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Iran,Portugal,GROUP,6.24,4.04,1.61,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Spain,Morocco,GROUP,1.37,5.09,9.86,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
France,Australia,GROUP,1.26,6.99,10.6,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Peru,Denmark,GROUP,3.68,3.09,2.31,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Denmark,Australia,GROUP,1.92,3.42,4.62,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
France,Peru,GROUP,1.62,3.84,6.58,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Denmark,France,GROUP,5.27,2.78,2.08,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Australia,Peru,GROUP,2.9,3.5,2.5,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Argentina,Iceland,GROUP,1.33,5.31,11.04,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Croatia,Nigeria,GROUP,1.68,3.76,5.99,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Argentina,Croatia,GROUP,2.1,3.27,4.04,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Nigeria,Iceland,GROUP,2.98,3.07,2.71,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Nigeria,Argentina,GROUP,5.91,5.14,1.5,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Iceland,Croatia,GROUP,4.36,3.93,1.84,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Costa Rica,Serbia,GROUP,5.29,3.4,1.84,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Brazil,Switzerland,GROUP,1.47,4.38,8.2,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Brazil,Costa Rica,GROUP,1.21,6.7,18.82,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Serbia,Switzerland,GROUP,2.74,3.05,2.96,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Serbia,Brazil,GROUP,7.34,4.64,1.48,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Switzerland,Costa Rica,GROUP,1.61,3.68,7.37,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Germany,Mexico,GROUP,1.49,4.56,7.31,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Sweden,South Korea,GROUP,2.27,3.04,3.86,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
South Korea,Mexico,GROUP,5.56,3.82,1.71,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Germany,Sweden,GROUP,1.47,4.62,7.45,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
South Korea,Germany,GROUP,18.76,8.19,1.17,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Mexico,Sweden,GROUP,2.23,3.38,3.52,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Belgium,Panama,GROUP,1.21,6.83,17.92,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Tunisia,England,GROUP,8.47,4.21,1.48,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Belgium,Tunisia,GROUP,1.34,5.08,11.48,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
England,Panama,GROUP,1.22,6.41,18.09,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
England,Belgium,GROUP,2.46,2.85,3.67,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Panama,Tunisia,GROUP,4.34,3.73,1.88,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Colombia,Japan,GROUP,1.88,3.34,5.06,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Poland,Senegal,GROUP,2.48,3.07,3.32,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Japan,Senegal,GROUP,3.16,2.96,2.67,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Poland,Colombia,GROUP,3.46,3.45,2.22,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Japan,Poland,GROUP,2.96,3.15,2.67,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Senegal,Colombia,GROUP,5.07,3.79,1.76,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
France,Argentina,R16,2.43,3.12,3.33,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Uruguay,Portugal,R16,3.05,2.98,2.74,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Spain,Russia,R16,1.59,4.1,6.33,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Croatia,Denmark,R16,1.99,3.22,4.61,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Brazil,Mexico,R16,1.49,4.44,7.61,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Belgium,Japan,R16,1.43,4.71,8.58,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Sweden,Switzerland,R16,3.37,2.95,2.53,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
England,Colombia,R16,2.15,3.11,4.07,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Uruguay,France,QF,4.61,3.11,2.01,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Brazil,Belgium,QF,2.12,3.42,3.69,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Sweden,England,QF,5.07,3.35,1.85,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Russia,Croatia,QF,4.03,3.15,2.12,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
France,Belgium,SF,2.59,3.13,3.02,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Croatia,England,SF,3.81,2.99,2.28,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Belgium,England,THIRD,2.2,3.74,3.18,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
France,Croatia,FINAL,2.13,3.09,4.15,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
